Date,Soil Moisture,Temperature,Humidity,Watering Decision
2024-11-22,45,25,60,1
2024-11-23,70,30,40,0
2024-11-24,20,28,55,1
2024-11-25,85,35,30,0
2024-11-26,33,27,50,1
2024-11-27,50,26,65,1
2024-11-28,75,32,45,0
2024-11-29,40,29,58,1
2024-11-30,90,31,35,0
2024-12-01,25,24,70,1
2024-12-02,60,27,52,1
2024-12-03,80,33,42,0
2024-12-04,35,28,61,1
2024-12-05,95,36,25,0
2024-12-06,22,23,68,1
2024-12-07,55,26,54,1
2024-12-08,78,31,44,0
2024-12-09,48,30,57,1
2024-12-10,88,34,38,0
2024-12-11,28,25,66,1
2024-12-12,65,28,53,1
2024-12-13,77,29,47,0
2024-12-14,41,30,59,1
2024-12-15,87,33,31,0
2024-12-16,30,22,67,1
2024-12-17,58,27,50,1
2024-12-18,82,35,36,0
2024-12-19,36,26,62,1
2024-12-20,92,32,28,0
2024-12-21,21,24,69,1
2024-12-22,53,25,55,1
2024-12-23,76,30,43,0
2024-12-24,47,29,60,1
2024-12-25,89,34,33,0
2024-12-26,29,23,65,1
2024-12-27,62,28,51,1
2024-12-28,81,35,37,0
2024-12-29,39,25,63,1
2024-12-30,94,31,29,0
2024-12-31,24,24,70,1
2025-01-01,54,27,56,1
2025-01-02,79,32,41,0
2025-01-03,44,30,59,1
2025-01-04,84,33,34,0
2025-01-05,32,22,66,1
2025-01-06,61,26,52,1
2025-01-07,86,34,39,0
2025-01-08,37,28,60,1
2025-01-09,91,29,30,0
2025-01-10,23,24,68,1
2025-01-11,57,25,53,1
2025-01-12,83,33,40,0
2025-01-13,42,27,61,1
2025-01-14,96,36,24,0
2025-01-15,27,23,67,1
2025-01-16,66,28,54,1
2025-01-17,74,32,46,0
2025-01-18,43,29,58,1
2025-01-19,93,35,26,0
2025-01-20,26,24,69,1
2025-01-21,51,25,55,1
2025-01-22,80,30,44,0
2025-01-23,38,28,62,1
2025-01-24,90,33,31,0
2025-01-25,34,25,65,1
2025-01-26,68,27,52,1
2025-01-27,85,36,39,0
2025-01-28,31,23,64,1
2025-01-29,59,29,50,1
2025-01-30,78,32,38,0
2025-01-31,40,26,63,1
2025-02-01,95,34,27,0
2025-02-02,25,24,67,1
2025-02-03,56,28,54,1
2025-02-04,81,30,42,0
2025-02-05,47,27,59,1
2025-02-06,87,35,35,0
2025-02-07,28,22,66,1
2025-02-08,63,26,53,1
2025-02-09,82,31,39,0